Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Jun-75,,,,154,10,,,,,408,136,2246,118,,128,,,532,,26,1824,,,,204,,8,,,,,,,,,,,,38,,28,,246,,38,,416,,720,128,,,486,578,10,,,,,,,8,,136,,20,340,14,,,,,,,,,,,,,,,,,
Jul-75,,,,184,10,,,,,366,156,2342,122,,134,,,512,,34,1980,,,,210,,8,,,,,,,,,,,,42,,36,,220,,40,,332,,778,128,,,438,520,16,,,,,,,26,,112,,16,422,36,,,,,,,,,,,,,,,,,
Aug-75,,,,192,4,,,,,364,142,2384,122,,130,,,532,,24,2002,,,,166,,4,,,,,,,,,,,,44,,32,,230,,32,,392,,794,136,,,526,608,26,,,,,,,18,,146,,24,390,8,,,,,,,,,,,,,,,,,
Sep-75,,,,188,,,,,,414,134,2174,120,,158,,,536,,22,1912,,,,198,,10,,,,,,,,,,,,30,,32,,242,,18,,332,,492,86,,,400,512,4,,,,,,,10,,104,,36,346,20,,,,,,,,,,,,,,,,,
Oct-75,,,,136,8,,,,,478,128,2190,128,,110,,,528,,20,1954,,,,146,,4,,,,,,,,,,,,34,,22,,250,,40,,386,,386,118,,,474,538,10,,,,,,,18,,128,,20,368,18,,,,,,,,,,,,,,,,,
Nov-75,,,,208,4,,,,,446,144,2336,110,,132,,,498,,30,1976,,,,128,,8,,,,,,,,,,,,46,,32,,222,,22,,396,,228,92,,,472,534,20,,,,,,,10,,120,,38,350,16,,,,,,,,,,,,,,,,,
Dec-75,,,,174,8,,,,,428,134,2280,100,,144,,,534,,32,1914,,,,80,,,,,,,,,,,,,,50,,22,,278,,30,,418,,148,94,,,400,530,14,,,,,,,22,,128,,26,382,24,,,,,,,,,,,,,,,,,
Jan-76,,,,164,4,,,,,348,110,1704,82,,90,,,420,,28,1488,,,,46,,,,,,,,,,,,,,40,,28,,244,,18,,292,,162,70,,,396,408,10,,,,,,,10,,86,,28,298,12,,,,,,,,,,,,,,,,,
Feb-76,,,,150,6,,,,,274,122,1762,114,,86,,,370,,20,1594,,,,74,,6,,,,,,,,,,,,62,,18,,196,,34,,270,,202,104,,,316,420,16,,,,,,,6,,116,,26,276,20,,,,,,,,,,,,,,,,,
Mar-76,,,,178,10,,,,,320,124,1758,102,,90,,,384,,26,1554,,,,106,,2,,,,,,,,,,,,44,,24,,224,,22,,342,,274,92,,,354,476,14,,,,,,,4,,94,,32,332,12,,,,,,,,,,,,,,,,,
