Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Aug-79,,,,158,20,,24,6,34,358,130,2436,128,,238,6,8,554,,26,2230,42,2,296,542,,2,,300,,136,,104,78,230,,200,,64,120,42,28,268,,14,,448,,82,52,72,,418,572,16,,,,208,6,,16,,280,52,30,302,34,,,,,,,,,,,,,,,,,
Sep-79,,,,148,14,,26,6,22,442,140,2616,130,,218,2,8,560,,38,2234,40,4,244,430,,8,,236,,118,,82,102,212,,190,,80,108,44,26,300,,36,,412,,70,50,70,,424,572,20,,,,146,2,,38,,264,44,30,270,6,,,,,,,,,,,,,,,,,
Oct-79,,,,172,18,,18,6,18,446,200,2716,146,,248,8,8,588,,38,2160,44,,238,276,,4,,306,,148,,86,98,118,,112,,76,116,44,22,310,,30,,508,,44,52,68,,434,632,16,,,,130,2,,32,,212,34,46,306,28,,,,,,,,,,,,,,,,,
Nov-79,,,,182,6,,12,10,18,448,134,2516,178,,226,,4,632,,32,2150,50,,254,198,,10,,286,,114,,84,96,62,,56,,60,102,44,26,334,,40,,458,,26,30,80,,392,562,18,,,,90,2,,24,,246,26,56,314,10,,,,,,,,,,,,,,,,,
Dec-79,,,,166,18,,34,6,8,444,194,2706,156,,306,4,6,646,,28,2330,32,2,302,220,,4,,240,,82,,132,102,44,,38,,74,98,64,24,342,,32,,514,,28,70,74,,392,680,22,,,,38,,,32,,268,24,40,332,34,,,,,,,,,,,,,,,,,
Jan-80,,4,,136,16,,16,4,8,340,96,1916,112,,214,2,6,466,,20,1784,48,,200,128,,8,,168,,94,4,82,78,30,,40,,60,92,40,32,272,,14,,362,,20,10,70,,324,470,16,8,10,,38,2,,32,,212,10,34,278,20,,,,,,,,,,,,,,,,,
Feb-80,,4,,108,2,2,6,2,6,336,128,1872,86,,214,,2,432,,26,1556,38,2,222,166,,10,,224,,60,,64,62,52,2,52,,68,66,50,16,258,,14,,318,,26,10,64,2,276,442,10,8,4,,44,,,32,,192,16,38,250,28,,,,,,,,,,,,,,,,,
Mar-80,,,,154,10,4,20,6,8,364,108,2024,124,,240,2,2,456,,32,1758,18,,208,218,,6,,200,,90,2,84,60,100,,60,,58,94,48,16,234,,34,,394,,24,16,58,6,290,444,16,10,6,,96,2,,48,,222,22,52,252,22,,,,,,,,,,,,,,,,,
Apr-80,,6,,134,10,4,10,4,12,346,118,1920,142,,240,,4,406,,34,1792,34,,238,342,,6,,144,,84,4,88,64,132,2,132,,68,102,44,24,226,,24,,444,,38,12,38,,346,470,24,4,6,,146,,,50,,246,52,44,246,10,,,,,,,,,,,,,,,,,
May-80,,4,,136,12,2,30,,22,356,152,2368,142,,272,6,8,450,,32,2034,50,,270,522,,4,,192,,76,4,94,86,212,,172,,72,108,66,26,268,,32,,470,,86,16,70,4,324,592,22,14,6,,222,4,,28,,300,50,42,320,20,,,,,,,,,,,,,,,,,
Jun-80,,6,,142,14,4,38,2,32,378,140,2534,168,,342,2,12,524,,44,2156,28,,236,536,,2,,190,,102,,160,94,270,2,236,,64,82,50,34,262,,24,,500,,92,24,40,8,420,552,14,4,4,,224,8,,50,,262,60,46,306,34,,,,,,,,,,,,,,,,,
Jul-80,,2,2,140,14,4,30,,24,364,144,2486,128,,306,8,4,528,,22,2062,42,,336,580,,,,204,,86,6,152,94,252,,202,,80,86,50,24,268,,52,,476,,114,30,62,4,392,518,26,8,12,,212,10,,32,,312,70,46,316,30,,,,,,,,,,,,,,,,,
Aug-80,,,,150,26,2,42,2,34,468,186,2930,130,,332,6,6,528,,22,2222,60,2,268,590,,8,,236,,72,2,146,88,250,,266,,70,118,56,38,390,,22,,600,,88,22,86,10,418,662,16,6,14,,222,2,,42,,350,46,82,272,26,,,,,,,,,,,,,,,,,
Sep-80,,2,,154,10,2,32,2,20,352,136,2482,174,,260,4,2,576,,30,1990,38,,274,458,,,,268,,94,,82,62,218,2,182,,72,112,50,26,274,,20,,384,,72,12,68,4,344,538,16,4,2,,156,6,,22,,278,42,64,256,18,,,,,,,,,,,,,,,,,
Oct-80,,,,136,24,,22,6,16,456,170,2372,134,,270,2,12,528,,30,2040,78,,248,286,,6,,238,,108,6,112,104,110,,110,,62,108,40,34,262,,42,,490,,34,16,64,,392,546,16,6,10,,98,4,,36,,322,32,56,260,20,,,,,,,,,,,,,,,,,
Nov-80,,2,,150,6,,20,6,14,432,144,2358,140,,312,,14,508,,40,2046,62,2,262,228,,4,,282,,72,4,124,112,70,,56,,62,98,42,20,280,,14,,508,,10,18,56,2,376,526,20,4,8,,80,4,,64,,308,32,50,266,28,,,,,,,,,,,,,,,,,
Dec-80,,2,,158,36,4,20,4,4,412,176,2444,120,,294,,4,570,,28,2032,36,,270,172,,,,236,,70,,96,92,42,,38,,76,106,58,26,358,,16,,460,,20,14,56,6,390,618,6,8,8,,50,2,,56,,280,22,58,298,38,,,,,,,,,,,,,,,,,
Jan-81,,2,2,160,16,2,30,6,10,330,132,2064,136,2,222,,6,400,,22,1732,68,,228,154,,2,,190,,56,4,96,76,44,,40,,66,100,46,22,238,,20,,398,6,14,,54,,326,518,10,12,,,42,,2,42,,250,24,116,260,22,,,,,,,,,,,,,,,,,
Feb-81,,2,2,128,18,,30,4,2,352,142,1852,96,,246,2,6,434,,24,1654,54,,224,206,,2,,190,,58,2,50,88,56,,44,4,44,102,56,12,272,,16,,388,4,10,,62,2,264,460,8,4,18,,78,2,,38,,268,32,124,238,34,,,,,,,,,,,,,,,,,
Mar-81,,4,2,120,8,2,12,2,10,324,140,2064,136,4,252,4,2,498,,50,1766,36,,166,272,,6,,208,,66,4,46,70,88,2,82,4,60,98,68,10,254,,20,,368,4,14,,46,8,332,414,14,8,12,,74,2,,38,,314,18,178,266,18,,,,,,,,,,,,,,,,,
Apr-81,,6,,144,8,2,12,,6,364,138,2154,106,,302,,4,462,,24,1752,46,,206,342,,2,,210,,44,2,90,72,178,,136,2,44,110,50,24,242,,16,,490,,8,,54,4,314,450,8,6,6,,160,6,2,32,,280,42,166,232,10,,,,,,,,,,,,,,,,,
May-81,,2,,156,16,4,12,2,8,368,152,2200,116,2,270,4,6,472,,34,1892,64,,212,378,,6,,184,,52,2,100,96,240,,154,2,68,108,56,40,276,,20,,472,4,28,2,50,,310,518,18,2,22,,166,8,2,52,,276,14,396,244,26,,,,,,,,,,,,,,,,,
Jun-81,,2,8,140,14,2,38,8,14,348,128,2222,134,4,342,8,4,522,,40,1840,88,,258,436,,2,,230,2,76,4,100,96,238,,182,6,62,108,56,16,250,,22,,482,16,34,,64,6,364,492,14,8,6,,238,6,,36,,318,34,300,242,34,,,,,,,,,,,,,,,,,
Jul-81,,2,,162,26,2,36,8,22,376,170,2424,144,8,350,4,4,530,,22,1982,70,,262,560,,6,,198,2,60,6,120,72,206,,202,,52,92,92,12,272,,20,,492,4,34,2,64,2,426,550,14,14,2,,178,4,2,56,,314,50,496,266,28,,,,,,,,,,,,,,,,,
Aug-81,,4,2,180,20,4,26,,10,402,146,2434,138,,292,4,2,572,,38,2170,80,,296,588,,2,,250,4,70,2,126,108,250,,228,2,44,108,64,30,258,,36,,572,6,36,4,78,2,388,616,14,4,14,,220,6,2,56,,384,42,270,296,34,,,,,,,,,,,,,,,,,
Sep-81,,4,2,132,14,,24,4,12,366,170,2144,122,2,296,6,6,548,,28,1984,78,,250,476,,4,,238,,60,2,106,88,168,2,150,,76,92,58,18,230,,24,,476,,22,6,66,2,370,498,20,12,4,,142,4,6,84,,316,20,194,270,10,,,,,,,,,,,,,,,,,
Oct-81,,2,,120,28,2,22,,12,412,156,2402,132,,298,4,6,516,,16,1994,84,,236,294,,2,,254,6,66,,92,80,134,,114,2,58,136,68,28,226,,14,,470,10,18,2,70,4,420,546,20,10,12,,114,,,46,,318,22,208,308,22,,,,,,,,,,,,,,,,,
Nov-81,,,,104,16,4,16,4,10,430,146,2234,124,4,234,2,10,526,,28,1906,66,,234,240,,2,,194,2,54,2,78,98,68,,82,4,56,92,54,18,298,,10,,532,4,8,,64,4,316,542,22,10,6,,90,,,44,,350,22,190,254,22,,,,,,,,,,,,,,,,,
Dec-81,,2,2,160,16,4,22,2,6,444,164,2256,152,,278,,10,532,,20,1956,72,,270,200,,4,,192,8,74,,80,78,40,2,48,2,60,112,70,36,294,,16,,524,4,8,,46,4,396,528,10,10,2,,44,2,,40,,350,18,178,298,34,,,,,,,,,,,,,,,,,
Jan-82,,,2,112,6,4,14,2,2,282,106,1700,84,,268,2,6,366,,20,1412,66,,194,156,,4,,182,,40,2,86,58,28,,32,2,40,104,40,14,208,,14,,336,4,22,12,62,4,256,376,12,4,12,,34,2,,52,,244,8,182,182,18,,,,,,,,,,,,,,,,,
Feb-82,,2,,98,12,2,18,2,6,302,110,1580,104,4,212,,2,334,,22,1254,40,,214,194,,,,172,2,58,2,64,68,48,2,48,,44,98,44,10,162,,20,,328,6,10,6,56,,242,354,14,14,10,,58,,,38,,252,10,158,192,26,,,,,,,,,,,,,,,,,
Mar-82,,2,,142,26,2,24,6,6,320,106,1820,132,2,274,,6,420,,16,1550,66,,214,244,,4,,210,4,56,6,70,78,78,2,62,4,66,92,76,14,242,,18,,370,6,18,4,48,8,280,402,4,16,12,,96,,,30,,258,18,176,216,10,,,,,,,,,,,,,,,,,
Apr-82,,2,2,104,10,2,28,2,6,358,130,1974,114,,246,4,2,420,,22,1562,74,,206,294,,10,,194,2,38,2,80,78,130,,108,,48,98,50,16,248,,28,,396,6,14,10,52,6,294,486,16,12,4,,136,2,2,36,,296,36,198,218,36,,,,,,,,,,,,,,,,,
May-82,,4,4,108,6,,20,2,16,352,138,2020,98,2,294,,,462,,26,1612,48,2,222,478,,,,210,,54,2,92,70,174,,172,4,58,70,42,22,296,,24,,440,4,26,2,58,,302,452,24,10,6,,212,8,2,40,,310,16,214,230,34,,,,,,,,,,,,,,,,,
Jun-82,,2,2,130,20,2,30,,14,316,130,2080,88,,314,6,4,392,,26,1690,68,2,198,410,,,,190,8,32,,90,94,184,2,194,4,36,98,36,28,258,,24,,432,6,16,20,74,6,308,432,14,8,8,,186,4,,46,,280,28,252,194,20,,,,,,,,,,,,,,,,,
Jul-82,,2,2,142,8,4,46,2,18,350,94,2130,124,,316,4,10,482,,36,1798,74,,238,474,,,,206,2,74,6,102,80,264,,166,,64,102,56,22,206,,26,,450,4,26,36,52,4,364,474,12,6,4,,192,8,,54,,286,38,324,246,34,,,,,,,,,,,,,,,,,
Aug-82,,,6,116,18,2,24,4,18,370,110,2122,106,,296,,6,478,,18,1886,68,,250,498,,4,,218,4,54,,120,94,228,2,190,2,66,120,52,18,290,,24,,472,,18,36,54,6,288,460,12,8,6,,230,4,,44,,306,22,290,220,30,,,,,,,,,,,,,,,,,
Sep-82,,,,134,22,2,34,2,24,330,112,2176,134,,284,2,12,446,,32,1702,62,,230,390,,2,,218,4,42,4,70,88,174,,168,10,44,106,52,24,234,,20,,418,4,8,20,62,8,306,472,18,14,14,,182,2,2,40,,280,22,220,216,28,,,,,,,,,,,,,,,,,
Oct-82,,6,,142,14,,26,4,24,410,136,2234,120,,320,2,,464,,24,1868,88,,286,306,,6,,242,2,46,2,82,82,118,2,112,4,58,100,62,10,236,,22,,496,4,10,28,66,4,294,506,10,14,12,,114,4,,50,,288,22,244,258,32,,,,,,,,,,,,,,,,,
Nov-82,,,4,114,8,,18,4,4,366,154,1948,84,,304,2,4,478,,22,1590,68,,216,198,,2,,210,6,48,4,120,104,54,,44,,88,104,76,30,238,,8,,482,12,8,32,44,,292,438,8,4,10,,58,,,46,,316,14,196,220,20,,,,,,,,,,,,,,,,,
Dec-82,,,,122,16,,28,2,8,364,130,2100,120,,330,,2,490,,10,1728,72,,206,218,,4,,190,6,60,2,78,82,48,,34,2,40,106,62,22,282,,8,,442,6,6,8,74,8,378,454,18,18,16,,48,,,68,,316,16,260,240,26,,,,,,,,,,,,,,,,,
Jan-83,,,6,88,14,,16,2,8,274,116,1546,116,2,260,,4,346,,16,1434,46,,208,198,,4,,150,8,48,4,52,106,38,,28,,36,76,40,18,176,,8,2,352,2,8,14,48,2,260,368,8,8,8,,42,,,62,,264,6,94,198,32,,,,,,,,,,,,,,,,,
Feb-83,,2,4,78,14,,18,2,4,300,110,1552,106,2,216,2,2,386,,18,1306,78,,196,172,,,,140,,54,,58,66,30,2,48,2,36,76,54,16,166,,8,,284,4,6,26,48,6,238,306,2,8,6,,48,,,38,,256,8,116,172,10,,,,,,,,,,,,,,,,,
Mar-83,,4,2,106,16,,30,8,8,366,126,1614,90,,260,4,4,344,,8,1514,66,2,216,196,,,,170,2,44,2,72,76,90,2,58,2,48,66,46,36,198,,8,2,340,6,8,14,44,6,236,384,8,16,2,,62,,,40,,314,10,80,192,14,,,,,,,,,,,,,,,,,
Apr-83,,,,118,4,,24,2,4,358,106,1798,86,2,292,2,2,348,,16,1530,48,2,154,312,,2,,182,2,56,2,86,70,124,,80,2,52,98,68,20,218,,22,,348,4,20,16,46,4,230,428,12,8,4,,92,,,40,,278,22,116,212,28,,,,,,,,,,,,,,,,,
May-83,,2,4,134,16,4,24,,4,330,112,1884,106,,314,,4,412,,14,1608,64,,236,410,,,,194,8,42,,96,92,158,2,136,6,56,90,60,26,226,,20,2,434,2,20,30,56,4,286,456,8,14,2,,160,8,,38,,290,28,144,220,30,,,,,,,,,,,,,,,,,
Jun-83,,4,,98,8,2,28,4,10,328,110,1908,136,,324,2,4,432,,30,1686,72,,222,426,,,,202,2,48,,102,98,208,,148,4,42,102,40,26,224,,20,2,406,2,12,36,68,2,266,392,22,14,14,,172,4,,60,,290,28,160,212,24,,,,,,,,,,,,,,,,,
Jul-83,,,6,134,16,,32,2,22,352,126,2150,120,2,290,,4,448,,18,1814,94,,276,562,,,,244,2,56,2,100,74,244,,204,8,46,70,70,34,258,,28,,344,2,18,42,62,2,272,430,16,20,18,,226,2,,52,,360,18,146,240,10,,,,,,,,,,,,,,,,,
Aug-83,,,2,104,26,,22,6,18,354,112,2150,102,,366,4,4,450,,28,1802,86,,248,550,,,,226,8,50,4,130,104,192,,178,,46,110,54,20,230,,24,2,484,2,20,40,86,6,266,438,16,16,10,,200,4,,64,,318,34,230,230,36,,,,,,,,,,,,,,,,,
Sep-83,,2,2,110,16,2,26,,12,380,144,2018,134,10,300,4,4,434,,22,1730,66,,264,464,,4,,276,,58,6,84,108,178,2,176,2,46,106,64,28,272,,20,,418,2,22,32,82,2,302,452,20,20,12,,156,4,2,40,,348,18,176,240,34,,,,,,,,,,,,,,,,,
Oct-83,,4,2,122,24,,18,,6,450,168,2262,116,2,312,,4,514,,26,1704,82,,270,368,,,,236,2,58,4,66,76,136,,94,8,68,126,70,32,196,,16,2,466,6,20,32,72,8,338,432,20,16,8,,106,2,,46,,340,10,158,228,24,,,,,,,,,,,,,,,,,
Nov-83,,4,,96,26,2,16,,2,388,144,1992,114,,316,2,,410,,28,1740,84,,286,230,,,,246,4,60,2,66,68,56,2,42,4,52,100,50,30,250,,12,4,496,4,10,12,78,8,280,422,12,40,6,,68,,,50,,330,14,144,228,22,,,,,,,,,,,,,,,,,
Dec-83,,2,6,152,24,2,12,4,10,394,136,1998,160,,384,,2,444,,14,1596,86,2,238,238,,2,,256,8,58,8,64,92,58,,24,4,58,112,90,20,274,,24,6,410,6,6,36,74,6,278,374,16,34,2,,36,,,54,,396,8,130,290,12,,,,,,,,,,,,,,,,,
Jan-84,,2,,104,10,,14,6,4,276,106,1530,108,2,246,,6,394,,20,1450,68,,164,206,,2,,204,12,48,8,78,90,46,,30,4,38,88,46,20,174,,6,,380,,12,32,64,2,218,356,12,16,6,,56,,,50,,278,12,144,160,22,,,,,,,,,,,,,,,,,
Feb-84,,2,2,98,18,,18,,2,274,98,1562,118,2,248,,4,362,,10,1292,88,,168,234,,,,186,2,60,,54,84,56,,56,4,50,96,80,14,190,,12,2,352,4,6,16,74,4,214,354,12,18,6,,80,,,48,,244,12,100,182,20,,,,,,,,,,,,,,,,,
Mar-84,,6,,96,18,,22,,8,332,128,1772,110,,288,,2,400,,18,1510,80,,208,300,,2,,190,2,56,4,52,88,84,2,42,6,46,104,88,26,286,,10,4,442,4,6,18,52,6,230,380,8,20,12,,80,,,66,,332,8,156,218,18,,,,,,,,,,,,,,,,,
Apr-84,,6,2,100,10,,22,,6,358,126,1672,108,2,336,4,6,370,,16,1456,72,,196,308,,,,168,12,40,2,56,94,140,,74,,42,90,72,32,198,,22,2,390,4,12,18,50,4,258,434,8,22,4,,110,2,,44,,332,26,146,170,20,,,,,,,,,,,,,,,,,
May-84,,2,2,92,14,4,30,2,18,348,120,1850,136,2,296,2,2,440,,20,1790,80,,264,500,,8,,208,6,46,2,76,76,168,,134,4,58,120,90,30,258,,12,2,392,10,28,32,66,4,312,430,32,30,10,,174,,,44,,318,24,168,208,22,,,,,,,,,,,,,,,,,
Jun-84,,6,6,126,16,2,28,2,18,382,146,2012,98,2,348,,,486,,10,1818,74,2,298,558,,4,,270,10,62,6,88,102,232,,156,4,70,134,58,30,224,,14,2,492,6,26,52,76,6,318,482,14,16,8,,218,2,,58,,358,30,224,210,18,,,,,,,,,,,,,,,,,
Jul-84,,2,2,96,18,,28,,8,342,168,2086,112,,370,2,4,502,,24,1874,104,,280,568,,,,244,8,50,2,116,86,182,,144,4,66,152,84,28,244,,16,8,444,4,8,38,86,8,370,540,18,18,8,,206,2,,52,,412,18,218,222,18,,,,,,,,,,,,,,,,,
Aug-84,,4,,136,20,,26,,14,390,140,2092,114,2,358,,2,540,,28,1766,102,4,246,638,,6,,248,12,60,4,84,102,224,2,182,,68,158,76,14,250,,20,4,446,2,30,36,80,8,350,448,14,36,12,,244,2,,66,,380,32,216,224,20,,,,,,,,,,,,,,,,,
Sep-84,,4,4,120,16,2,34,2,10,362,142,2178,120,,376,,6,476,,22,1784,92,,268,578,,6,,220,18,50,10,90,76,176,,128,,56,114,74,12,250,,16,2,486,10,22,26,82,4,290,466,24,28,4,,144,2,,56,,390,26,240,230,28,,,,,,,,,,,,,,,,,
Oct-84,,2,,118,14,,24,10,8,420,116,2126,142,,394,,4,524,,16,1808,102,,244,398,,,,256,8,58,4,84,114,130,,92,4,60,152,102,30,270,,8,2,466,2,12,38,88,8,300,456,16,38,10,,118,,,48,,342,16,258,226,28,,,,,,,,,,,,,,,,,
Nov-84,,,,98,16,,30,,4,382,124,2036,108,,424,,6,452,,14,1888,74,,250,268,,,,230,10,60,4,96,82,64,,48,,34,122,58,10,244,,12,10,468,4,4,38,72,2,340,466,18,22,6,,66,,2,82,,336,18,226,220,24,,,,,,,,,,,,,,,,,
Dec-84,,2,2,108,28,4,10,,12,410,134,2016,144,,350,,2,476,,24,1780,90,,264,360,,4,,240,8,70,,76,110,52,2,46,4,86,102,106,18,272,,6,6,518,,2,12,74,6,270,498,18,30,2,,44,,,70,,380,2,214,216,28,,,,,,,,,,,,,,,,,
Jan-85,,,6,100,14,2,20,2,2,354,122,1652,110,,294,2,4,370,,14,1438,116,,226,176,,4,,230,12,50,2,78,88,40,,34,,42,94,54,24,226,,6,10,372,2,6,46,76,,274,386,12,20,4,,42,,,50,,330,4,104,188,28,,,,,,,,,,,,,,,,,
Feb-85,,4,,82,14,,24,2,4,338,100,1552,86,2,228,,6,328,,20,1334,52,,208,220,,4,,218,12,30,4,62,86,52,,34,,28,94,48,16,176,,6,4,362,6,6,28,78,,168,312,8,24,4,,60,,,52,,322,10,92,156,14,,,,,,,,,,,,,,,,,
Mar-85,,2,4,88,22,,18,,6,384,108,1796,92,,344,2,2,398,,16,1398,78,,232,374,,,,214,16,30,8,84,94,90,,80,2,48,100,70,28,192,,8,4,432,2,14,16,64,8,238,420,10,20,,,106,,,46,,346,14,96,182,18,,,,,,,,,,,,,,,,,
Apr-85,,,,90,14,,32,4,6,300,136,1884,122,,348,,8,444,,2,1574,82,,156,494,,2,,236,8,40,,92,78,162,,108,2,38,108,96,18,236,,20,6,446,2,6,20,60,2,210,412,16,32,8,,140,4,,56,,338,10,86,192,22,,,,,,,,,,,,,,,,,
May-85,,4,6,110,18,,26,2,10,330,162,2020,142,,380,2,10,460,,10,1762,88,,246,590,,6,,250,18,58,10,94,108,184,,154,2,50,120,96,22,202,,22,8,530,2,12,24,74,2,298,408,16,24,6,,176,2,,76,,426,26,96,200,28,,,,,,,,,,,,,,,,,
Jun-85,,2,4,78,12,2,32,,6,372,156,2208,114,2,428,6,4,420,,20,1762,80,,306,620,,,,248,10,60,2,134,72,232,,164,6,64,158,108,30,230,,10,4,462,4,20,32,90,4,302,520,2,34,8,,272,2,,88,,378,20,124,192,24,,,,,,,,,,,,,,,,,
Jul-85,,2,,90,16,,28,4,20,406,102,2118,98,2,374,2,8,494,,16,1700,116,2,276,692,,2,,238,24,62,10,84,94,208,,156,2,70,142,100,34,242,,16,10,442,2,20,36,60,,306,406,18,46,18,,224,2,,64,,390,24,120,220,22,,,,,,,,,,,,,,,,,
Aug-85,,,6,110,24,2,38,4,16,428,138,2170,116,4,382,2,,496,,16,1892,112,2,300,588,,2,,252,24,64,2,98,112,226,,150,2,68,148,94,30,256,,14,12,474,2,24,30,82,2,274,470,26,38,8,,218,2,,60,,462,20,144,244,40,,,,,,,,,,,,,,,,,
Sep-85,,2,,68,12,,22,,8,362,112,2068,102,,328,,,422,,14,1878,118,2,288,488,,6,,228,14,54,8,72,94,162,,134,,46,128,88,24,202,,6,6,476,4,20,38,76,6,220,418,18,34,10,,164,,,52,,386,18,168,154,26,,,,,,,,,,,,,,,,,
Oct-85,,,,90,14,,44,,12,396,148,2108,134,,392,,2,428,,28,1824,110,,238,428,,4,,254,24,52,,88,94,124,,92,4,38,134,90,30,216,,4,4,500,4,6,36,88,2,266,416,22,42,8,,112,2,,48,,422,8,162,188,22,,,,,,,,,,,,,,,,,
Nov-85,,4,,114,12,,28,6,4,384,106,2074,128,2,388,,6,476,,20,1860,104,,260,308,,2,,250,8,72,,88,78,82,2,36,,66,120,82,16,294,,4,12,488,4,12,42,90,10,270,502,16,26,8,,96,,,46,,428,16,126,238,26,,,,,,,,,,,,,,,,,
Dec-85,,2,4,70,18,2,24,2,,392,130,1916,126,,384,,4,476,,14,1754,68,2,228,238,,,,208,28,74,,78,96,58,2,24,,50,134,102,20,280,,6,6,486,2,2,36,78,6,258,436,10,34,,,54,,,70,,336,4,160,182,22,,,,,,,,,,,,,,,,,
Jan-86,,,,66,8,2,22,,4,324,98,1776,78,,378,,4,390,,10,1444,74,,252,226,,2,,214,18,58,2,62,88,52,,28,2,42,108,90,18,236,,8,6,390,2,4,16,66,6,250,362,8,30,12,,62,2,,40,,366,10,94,156,26,,,,,,,,,,,,,,,,,
Feb-86,,,,68,10,,20,,4,280,108,1544,98,,250,,2,338,,12,1306,74,,200,218,,,,196,14,54,2,54,60,74,2,40,4,60,90,80,26,190,,8,12,374,,4,16,44,4,228,326,14,34,8,,52,,,24,,316,10,60,152,20,,,,,,,,,,,,,,,,,
Mar-86,,2,,66,16,,16,,4,412,112,1798,116,,356,,8,430,,6,1564,94,,234,354,,,,208,6,42,4,64,80,112,,70,10,62,120,92,20,232,,12,10,448,,4,16,36,6,242,404,12,24,12,,102,,,50,,412,2,106,170,26,,,,,,,,,,,,,,,,,
Apr-86,,,,74,28,,34,,8,380,118,1914,140,2,326,,,416,,16,1646,106,,228,406,,6,,190,16,46,2,56,84,160,,104,2,38,92,82,42,212,,2,20,402,,8,14,64,2,202,404,14,22,6,,116,2,,58,,384,8,88,164,24,,,,,,,,,,,,,,,,,
May-86,,4,4,92,18,,42,2,12,462,140,2090,158,,402,2,10,478,,20,1900,108,,256,536,,,,250,18,56,2,108,58,170,,136,4,62,140,122,24,256,,8,6,508,,10,38,86,2,264,408,16,44,4,,172,2,,36,,452,14,106,188,30,,,,,,,,,,,,,,,,,
Jun-86,,,4,100,20,,28,4,12,408,134,2144,138,,432,,8,506,,16,1944,92,,280,598,,,,230,18,50,10,86,92,198,,166,4,62,114,116,26,292,,14,12,548,,14,38,96,6,268,482,14,38,12,,204,2,2,64,,402,18,152,216,18,,,,,,,,,,,,,,,,,
Jul-86,,4,2,102,24,2,38,,12,374,144,2180,148,,434,,2,538,,18,1906,128,,246,704,,,,214,24,66,,116,108,204,,124,6,82,140,106,20,278,,8,22,500,2,8,28,80,12,326,510,12,34,12,,276,2,,92,,448,10,146,200,28,,,,,,,,,,,,,,,,,
Aug-86,,6,2,72,28,4,20,2,14,476,176,2426,142,6,472,,4,578,,18,2046,118,,326,636,,2,,244,18,66,6,124,112,208,2,154,12,76,146,124,34,328,,10,14,610,,4,16,84,10,318,560,18,42,16,,210,2,,60,,480,16,156,204,28,,,,,,,,,,,,,,,,,
Sep-86,,,6,104,20,2,34,,10,382,164,2086,148,2,366,,6,490,,16,1746,98,2,280,488,,2,,202,22,56,4,98,110,170,2,134,6,46,110,118,12,280,,8,10,516,,12,26,78,,290,504,6,30,18,,180,2,2,56,,436,22,140,180,20,,,,,,,,,,,,,,,,,
Oct-86,,4,2,82,20,,32,4,4,394,138,2190,174,2,428,,,574,,10,1908,70,,290,386,,4,,262,16,36,2,86,86,134,2,74,16,60,148,122,42,302,,10,14,530,,4,42,100,4,322,438,24,38,12,,132,,,56,,500,4,138,198,40,,,,,,,,,,,,,,,,,
Nov-86,,6,2,72,18,2,34,,,434,144,2102,142,,434,,,564,,8,1786,80,,274,384,,2,,250,20,38,6,102,76,76,,46,22,60,112,144,20,246,,6,8,516,2,,40,70,8,296,462,22,38,16,,86,4,,86,,446,4,148,146,32,,,,,,,,,,,,,,,,,
Dec-86,,2,6,72,10,2,20,,6,388,170,2042,156,,400,,4,526,,10,1810,90,,278,314,,2,,240,16,66,2,82,104,60,,20,22,54,140,142,24,298,,,24,516,,6,16,58,2,288,476,16,28,20,,76,,,60,,428,10,150,218,28,,,,,,,,,,,,,,,,,
Jan-87,,,,64,20,,34,2,2,350,102,1712,110,2,410,,2,438,,8,1474,82,2,248,238,,4,,196,24,42,2,90,62,28,,18,10,52,96,82,32,238,,,10,398,,4,30,66,2,218,392,10,18,8,,48,,,46,32,352,2,140,118,24,,,,,,,,,,,,,,,,,
Feb-87,,,,60,18,,20,,6,304,106,1624,144,,324,,2,354,,8,1420,82,,218,244,,,,188,26,42,2,70,60,38,,24,8,46,84,88,28,216,,8,12,400,,2,10,70,2,250,306,4,22,8,,36,,,66,26,300,4,96,132,24,,,,,,,,,,,,,,,,,
Mar-87,,4,2,64,14,,20,2,4,358,106,1824,102,2,398,,,446,,6,1470,94,,200,338,,2,,172,22,40,6,84,80,76,,64,32,48,122,116,26,200,,10,10,428,4,8,4,68,10,268,408,16,24,8,,78,,,52,46,450,8,132,178,34,,,,,,,,,,,,,,,,,
