"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"High Point University",1166720,4444361,,,859120,,1820075,,,,2338532,853351,,831742,4399039,,,879299,,1767499,,,,1729782,827843,,1069180,4999095,,,668261,,1803618,,,,1343566,816367,,1010165,3674074,,,623601,,1640065,,,,1044590,808978,,993348,3374271,,,588021,,1506128,,,,1314798,697955,,1029880,3335378,,,570798,,1436426,,,,1389259,746255,,992819,3230301,,,578024,,1558402,,,,1258271,689285,,985699,3062377,,,537336,,1266593,,,,1189645,707789,,951909,2776918,,,512343,,1232703,,,,1094738,660350,,965548,2792526,,,405105,,1370040,,,,930448,656731,,724642,2533015,,,336594,,1033587,,,,628809,570205,,723626,2295077,,,342699,,973396,,,,692739,494475,
"Montreat College",1158198,1116943,,,311462,,913895,447695,,401876,830868,297839,359125,1333632,1260753,,,401979,,1276408,675926,,530087,1363861,400680,,1218267,1000649,,,324636,,1034599,503405,,255918,1354684,445983,,959773,842603,,,269752,,879196,365498,,253958,813004,319374,,572208,544394,,,195374,,523762,334433,,200900,627638,255527,,548361,494323,,,114665,,415286,179228,,82792,278689,161577,,282930,381772,,,88900,,376246,238534,,55670,227790,206844,,304833,460335,,,51320,,393102,195693,,,165686,197931,,312977,511233,,,87607,,477164,202518,,,142631,241310,,196392,374009,,,54430,,344973,136278,,,125610,182032,,255243,374562,,,77472,,301062,159535,,,130192,139740,,236309,356716,,,91946,,291799,135684,,,151730,117243,
"Middle Tennessee State University",1157741,4317355,,8626316,1244232,,820735,1059044,,1106458,1437914,887254,,1104966,5514099,,10195755,1105046,,1101146,1053946,,1032114,1751456,1073393,,1198323,5172140,,10063147,1151368,,1123774,1145331,,1193304,2124455,1009440,,1090646,5458891,,10052943,1074706,,1094315,981973,,1348836,1871693,1052579,,1008009,5020984,,10541364,1048419,,1031666,805916,,1436364,1800389,1017221,,970831,4532344,,10167835,905467,,1010537,796068,,1273480,2033428,1047639,,998316,4215619,,9054880,797684,,931590,750607,,2384764,1802931,983276,,859600,4038521,,9040369,843477,,857926,662053,,1638292,1604208,830372,,805626,3703698,,7882477,740123,,782839,696227,,306898,1444310,827443,,800655,3691609,,7629932,664576,,769976,650975,,829357,1398198,750106,,829087,3421616,,7546988,641701,,715514,612340,,839249,1248465,709971,,683997,2606726,,6638007,522196,,616353,541192,,718896,1257744,675347,
"Ball State University",1144466,2848209,681504,5985289,549103,,718938,766459,648076,792772,830731,1044849,,1149953,3503415,644927,7323546,685341,,764912,849668,715497,793643,804901,1251372,,1232420,3501427,636254,7135305,685119,,865586,946619,746662,879073,909516,1296279,,1220506,3687902,608057,7205016,717906,,841270,926116,771267,954127,794662,1456844,,1110590,4042587,697606,7044512,647559,,773929,874569,729201,886437,746498,1263960,,1206791,3521376,649805,7220032,631191,,613631,802315,622002,815352,738221,1240255,,1117178,3346766,637521,7061205,675594,,609497,855133,573642,716498,683182,1307694,,874988,3208835,552475,6510050,664954,,602187,771280,604784,700875,706490,1200320,,873234,2844255,426770,5926855,627207,,612838,694242,512119,773128,636677,1050732,,644145,2414524,446052,5803970,640111,,550190,648702,534920,777640,572518,1091701,,542445,2357952,499466,5735424,559362,,481470,632278,542392,650299,541338,1038360,,601997,2455383,531119,5252502,444208,,426211,596210,519702,595114,616869,951590,
"Georgetown College",1143622,1455514,,2760792,241026,,1030995,282951,,217520,,880199,,1139604,1527464,,2730715,258870,,1014356,263650,,261024,,454730,,1041569,1559223,,2515229,228164,,768797,292291,,280674,,398002,,922526,1283776,,2383906,182404,,514341,278408,,275101,,392234,,955134,1389329,,2436720,210008,,491803,275381,,260204,,371477,,678873,1054452,,1994567,81182,,413720,223421,,186441,,628040,,553629,967052,,1704124,80178,,393592,218371,,123932,,386988,,433030,1044809,,1136796,65888,,313381,219713,,91462,,333461,,477553,1140371,,1031257,73803,,309984,187080,,116626,,371547,,472580,1292866,,1609555,86369,,319201,135631,,108352,106266,304562,,390387,1302567,,1203809,141039,,272369,134082,,109651,137329,291332,,372662,1249488,,1027729,137070,,266185,146913,,139146,147404,333881,
"San Jose State University",1143401,3542696,,8673358,942972,,1615485,808376,,485442,1107550,913970,,989720,4397017,,10287259,973708,,1750052,883869,,533383,,1035322,,1200633,3691930,,8512268,894246,,1680135,829958,953616,513299,851442,914140,,1270418,4745497,,10921731,1036813,,2217546,1309514,1288684,758641,1196044,1149703,,1231567,3507308,,8228106,968947,,1513120,1001948,889179,423698,,769667,,956179,3322280,,8098929,753598,,1472802,824938,732905,418563,,755525,,914141,3339712,,6490966,790320,,1381325,756352,701008,469399,,720573,,229282,1038385,,4388653,228807,,27682,26587,31306,37777,,10156,,897385,2845326,,7575660,824965,,1153746,603370,635979,447949,,632392,,793472,2838093,,5770987,747594,,1079305,562010,593885,383342,,617154,,716584,2005662,,7112923,555088,,834699,463080,502949,271760,,509868,,647075,1727849,,6012613,474223,,767623,412138,368488,239646,,469567,
"ASA College",1142443,,,2742330,,,,,,,,,,713500,,,3686400,,,,,,,,,,258999,347581,,943058,,,310845,,,143205,,,,221148,417029,,967346,,,368945,,,253871,157870,,,228131,270384,,681680,,,265206,,,310472,103912,,,205385,328059,,603273,,,286728,,,171907,191351,,,307742,382046,,828407,,,397327,,,247372,230962,,,263836,452979,,799105,,,342847,,,318267,323554,,,291118,485514,,779192,,,140089,,,391951,,,,295374,459087,,637201,,,177713,,,239633,,,,228505,462420,,631120,,,170960,,,181583,,,,195251,344039,,387176,,,149628,,,90561,,,
"Texas State University",1142099,3155710,,8690213,814971,,643353,839909,,453541,1645213,877739,,902812,3079805,,8578422,721849,,743795,768784,,440299,1597105,871087,,1273244,3326987,,9706628,843440,,754722,893845,,431635,1488271,890854,,930080,3319364,,6725212,1408494,,621141,749407,,621141,1791698,882848,,1168606,3155039,,6952086,854421,,635040,877830,,452531,1466274,743658,,1054315,3238273,,7457817,751898,,607327,816443,,398033,1404482,714220,,1140839,3026202,,6320336,749034,,664408,746691,,375618,1299782,796160,,1063849,2920325,,6049470,621672,,539143,661390,,406991,1144852,733906,,974732,2739095,,5633155,679639,,606615,701042,,397428,1040417,673654,,848055,2028464,,4400906,570032,,528768,556580,,331664,997421,623029,,834627,1947818,,3564171,548843,,471498,557177,,368949,979894,557775,,755501,1794669,,2858666,539256,,470507,564984,,297227,929197,546140,
"Butler University",1138865,9084247,,772236,563989,,2264216,865116,,605624,1278238,807857,,1193637,10238784,,1244835,589862,,2497357,881987,,727059,1241002,874677,,1372402,10394427,,1048440,655935,,2496767,856018,,631618,1105955,955601,,1211079,9605545,,940978,698950,,2385243,850986,,675908,1035146,863172,,1079377,7851686,,884178,537433,,2152195,843717,,727742,1172147,942831,,1082313,6634186,,834911,535361,,2032238,844580,,593904,861252,850944,,946603,6114381,,823072,501649,,1646169,729324,,540749,812976,740752,,936359,5720826,,875972,520272,,1561055,675629,,505737,831079,798935,,863150,5748038,,787936,429673,,1383460,668041,,461854,904742,810136,,826793,5118909,,648837,506725,,1168093,589231,,455501,823325,742629,,716302,4731843,,675782,393005,,1108036,553558,,421772,774555,681369,,661233,4057366,,540145,395688,,1073997,551238,,431346,665214,546326,
"Roosevelt University",1137556,721641,,3156612,103133,,1042602,390599,,124813,,397315,,213175,434527,,,91530,,365716,192236,,127523,85434,141015,,262143,493900,,,87975,,410257,201546,,118038,113537,146508,,234028,432408,,,66240,,368387,146179,,93314,94830,113035,,219187,411962,,,107111,,431112,164156,,72118,123753,155022,,263252,408438,,,81908,,411639,174432,,120276,82618,115995,,231143,383168,,,71406,,389072,150418,,112918,98275,133821,,229138,388145,,,53169,,330064,161419,,88372,67790,123247,,187179,468804,,,54891,,306207,165250,,91715,53267,137359,,199252,471046,,,,,,,,72966,,177630,,187310,426959,,,,,,,,62093,,75477,,,,,,,,,,,,,,
"Belmont University",1135951,3974039,,,655883,,1553314,765515,,722751,1562478,808047,,1043163,4446229,,,653951,,1882847,819951,,749622,1517696,942772,,1066412,6908743,,,689152,,1786540,846787,,682660,1548682,966394,,972035,4898988,,,589464,,1639501,708754,,630051,1426822,899793,,963101,4335628,,,537947,,1564484,777708,,613758,1290369,921284,,951797,4408976,,,579591,,1585427,723531,,522815,1198500,883633,,948273,3854552,,,482935,,1457625,456670,,584050,1073500,899261,,873334,4262141,,,444767,,1265916,605295,,502939,1021694,849778,,876714,3609045,,,442937,,1236812,564891,,497296,956496,764734,,848743,3311149,,,397847,,1123346,558205,,440146,912071,818291,,727941,2822886,,,341200,,1061837,478458,,404428,832490,751145,,670763,2656364,,,355928,,998802,414318,,395327,794633,658299,
"University of Evansville",1129501,3188882,,,369552,,1529914,788466,563142,,,825207,,939677,4342730,,,375441,,1556457,731999,556959,,,824109,,1014427,4026722,,,409730,,1447316,841567,950679,,,787472,,990505,4507435,,,360384,,1428486,721278,971546,224782,,789273,,1008407,4058949,,,384716,,1365202,796977,879262,344656,,680952,,831794,4453280,,,349790,,1505676,775330,823395,324847,,753662,,886463,3933098,,,351374,,1399237,672233,774781,285501,,646447,,860345,3755201,,,363811,,1363826,748571,746363,270488,,605264,,832758,3593341,,,300846,,1267795,728805,715259,233961,,667904,,821105,3471763,,,287028,,1216531,706906,691508,233668,,607216,,806842,3284782,,,287705,,1263614,668939,641425,242153,,619840,,792437,3121930,,,286438,,1270481,572761,651154,210707,,578772,
"University of Oklahoma-Norman Campus",1129312,15416205,,101119170,477775,,325410,1243036,,327663,811390,192690,396170,2320633,10542206,,101881969,487512,,374844,3946539,,412298,1325469,222356,658939,796731,15209989,,94817907,500057,,267555,2418462,,225184,894597,179441,276498,2260585,16725004,,102321307,1300723,,304124,1059487,,276135,1254522,182366,488051,839800,16894627,,95876446,387443,,295635,403575,,289059,1219272,184059,334905,888715,14114228,,94142098,652987,,245298,494321,,308329,1103638,178995,304936,741208,12894784,,78737409,223588,,150336,405729,,137483,945050,118238,143619,785755,12175539,,71370051,2723913,,78509,735717,,161280,844576,124585,177213,738187,10673012,,69647986,301196,,92819,391389,,146789,500988,90466,86061,1750437,10597162,,59630425,265921,,135188,300797,,294642,506445,87259,119938,940398,10860597,,58811324,224235,,222579,274926,,67554,527968,99471,116382,1142378,11225785,,58295888,401162,,100725,423836,,142374,617147,90360,138208
"Monmouth University",1120357,4064312,871989,5431521,545300,,1966448,946942,,848155,1827674,,,1195169,5002422,1049113,6319319,591324,,2311357,950759,,776476,1842872,,,1103854,4649506,888478,5215219,479644,,2124146,922232,,695396,1987582,,,990499,4287598,940002,5041756,569154,,2067233,927096,,685479,1907183,,,965915,4345369,946583,4919009,460447,,1995515,737483,,561405,1948078,,,809377,3525073,739834,4546862,400726,,1980654,704836,,496708,1784576,,,804428,3485949,676578,4121774,357453,,1928750,683563,,450147,1730114,,,840574,3071885,528106,3458335,293771,,1728446,610215,,375477,1768614,,,780683,3055349,512738,2964667,330947,,1683119,572906,,278313,1576140,,,729638,2812340,496353,2830733,304893,,1553214,530373,,276308,1435467,,,730631,2865456,391502,2533614,311491,,1399297,473191,,250457,1355007,,,643373,2546163,302928,2265998,255819,,1080968,453359,,235690,1281972,,
"University of Dayton",1120253,11160995,,339372,336371,,1502226,498332,,419987,557876,1121404,,932964,14163108,,221136,311975,,1462841,358274,,238635,413845,832646,,795559,17709402,,159593,283765,,1367590,398816,,346449,346389,794462,,570663,15657196,,81477,294002,,1071457,380158,,340421,413250,731782,,571083,15284778,,285416,283925,,1082754,347145,,339402,433867,782001,,621417,14626435,,219332,372641,,1123281,379713,,338519,350213,743051,,560734,13138253,,118731,238413,,1100341,332575,,317352,399044,685415,,622546,12270480,,210720,170993,,1046152,340337,,234026,367210,533338,,589277,12143032,,197346,126470,,997737,307392,,123081,393481,602510,,537396,11615909,,114301,191465,,1070032,293410,,148465,406696,611649,,486372,11277061,,633120,57360,,817017,241778,,82375,410421,460361,,495246,10663112,,376514,85568,,878638,231041,,83095,330841,410855,
"Baker University",1119815,1422387,,2751242,573894,,2040059,495519,,347130,1756484,516451,1227574,1058293,1238177,,2413476,441528,,1604312,500219,,325481,1692025,543222,668234,842129,1116248,,2545452,280780,,1428151,431507,,365297,1608296,531423,619491,632169,846255,,2284379,203642,,1260839,383777,,281262,,451370,503940,450373,866179,,2008961,201130,,1083380,310753,,294785,952399,323932,497020,432420,812279,,1597753,156990,,1157471,224155,,246319,908129,309710,483309,329918,713310,,1545377,161315,,907629,148337,,180355,842005,243925,508320,316949,736231,,1384276,146091,,802781,154535,,124129,851132,249302,530738,275663,655936,,1359923,98103,,619949,129142,,98362,705878,234865,624032,239118,609004,,1113768,116017,,539968,120836,,94621,531766,219111,558354,204446,529920,,950175,115804,,453180,121442,,90392,489770,190274,484916,236749,580955,,924901,127347,,523674,111106,,114815,456072,200480,331055
"Georgia Southern University",1119465,2611716,,7763895,715782,,1274204,692177,516266,720939,496086,788419,,198564,1040619,,6740685,90715,,107299,72580,40676,51766,51595,67615,,953168,2842083,,6123720,600481,,1343783,632742,549295,718076,586226,971968,,1155192,2741666,,6881771,565857,,1253510,667105,667059,685152,573157,754247,,984175,2825538,,6138567,580046,,1051634,610175,459450,598904,527822,696833,,718390,976792,,7799526,280227,,1051682,340473,504409,373952,1289046,324455,,732642,2240994,,4777968,314132,,823844,539750,345639,395464,395540,589438,,888222,1240304,,4571659,257873,,1314308,468860,586075,468860,1711372,375095,,626522,1441700,,3637348,220415,,875718,350618,455066,384940,615877,278881,,560610,1017613,,3537338,201760,,853600,341130,450080,372480,605280,237438,,631028,1005814,,2953814,169720,,879184,369440,427328,373384,577048,262842,,174420,506377,,1089042,47339,,96130,80067,40000,49627,45263,61865,
"Missouri Baptist University",1116013,1864375,,2354530,455673,,1513288,686229,,253766,,1235616,983231,1020974,1672077,,2370256,330854,,1675817,620800,,316443,,1448077,888203,1224032,1010537,,2159136,440322,,1219305,530833,,320692,1043540,1505798,1116657,1347451,1264701,,2104555,388410,,1364693,686133,,528194,1093500,1302010,1086987,1153230,1489328,,1550598,330063,,1024362,439556,,426430,1076654,1087360,1019002,961809,1190018,,1240385,289877,,986830,340841,,447573,729663,801621,799724,620907,868429,,1167836,256595,,820581,371446,,374612,888405,595999,670316,695961,727347,,,270965,,783018,396917,,327596,697335,519842,778321,580249,788807,,,276290,,621082,296178,,256234,622877,531094,606039,480034,711489,,,185706,,581354,289960,,240326,596760,463676,526381,429015,678046,,,128678,,596573,302543,,181468,513009,482975,529139,405837,654689,,,221484,,606197,320243,,223830,613096,423101,486535
"Bradley University",1105503,4023251,,,529408,,886348,772282,,378974,1233414,744107,,1085690,4875314,,,489830,,1084309,800410,,363631,1278831,746942,,1257043,5368423,,,610412,,1281927,985368,,366944,1469900,834744,,1240578,5011908,,,595919,,1107733,908372,,323685,1306786,777273,,1197127,4797829,,,638460,,1102935,913828,,307874,1177702,667081,,1154676,4609160,,,607833,,1077592,875537,,303745,1196589,753669,,1304837,5160545,,,503568,,1060752,953326,,283410,1143872,674765,,1158760,5220530,,,456328,,1316122,814160,,463928,984666,703600,,1099008,5277062,,,396772,,998063,766406,,422701,841527,732097,,1069208,5284842,,,374872,,921446,740552,,386973,546811,747539,,740465,3386997,,,285327,,609572,575461,,295602,249115,512722,,904411,4126801,,,350307,,840966,692453,,319533,337960,613117,
"Sam Houston State University",1099503,2083279,,3606689,603451,,598324,672744,,384586,1267420,524818,,1067862,2261888,,4408800,614601,,632969,627743,,379682,1193106,536009,,1360883,2195802,,4346313,596478,,644541,632493,,387198,1391283,556070,,1354777,2332600,,4584321,600123,,653074,612013,,354724,1371148,561547,,1328380,1995147,,4520319,557246,,569226,570265,,345556,1395872,534863,,927899,1901046,,4191660,483395,,561671,543654,,324576,1284238,546321,,879084,1817883,,3916368,475207,,490010,514049,,292799,1145954,533959,,817349,1611419,,3568701,378320,,466696,465587,,257789,1015958,457739,,806161,1582097,,3053896,317694,,453943,455670,,255384,923165,438872,,655253,1440693,,2702057,327625,,362807,409162,,230380,723524,422336,,612793,1305340,,2178660,281812,,397247,377240,,229357,800760,392883,,535619,1296173,,2186106,248784,,347700,353785,,164509,660350,378940,
"Western Kentucky University",1099243,4125313,,8719000,559933,,677926,646447,,358116,776725,892675,,1039834,4672196,,9956826,532675,,783222,725717,,372233,822996,882024,,1134197,5081519,,8151383,627459,,720524,713470,,364998,1086922,858746,,1117823,4708127,,7770653,519343,,799932,529491,,394832,1029399,763676,,1257367,4327725,,8914222,507122,,850468,654208,,371002,1086028,928031,,1143311,4394687,,7648174,519071,,788015,674273,,314748,1366924,938858,,1266820,4202584,,7227022,561753,,742411,740656,1064502,268139,1390259,794021,,1047535,4416653,,7786215,483945,,677134,662073,1074597,344546,1338587,732527,,924734,4074544,,6406881,513826,,649410,635299,1036295,325780,1233891,695342,,1083592,4193922,,5883389,427506,,657802,583849,1015863,326918,1246050,672787,,1057287,3688118,,5103326,356235,,642003,576816,917860,299723,1090879,563587,,1190060,3272107,,5768244,374883,,672166,562345,1035074,333025,1210516,599212,
"Loyola University New Orleans",1095378,1717142,,,575567,,,,,645114,1317629,610570,,526815,1566757,,,429925,,,,,508146,906245,376702,,356218,1462987,,,329314,,,,,359410,374086,352316,,354933,1352063,,,289530,,,,,345584,388839,263819,,360849,1372161,,,294941,,,,,300026,392999,311034,,374843,1448347,,,282549,,,,,229047,362435,350360,,310784,1358704,,,166080,,,,,127322,163386,247020,,267469,1313457,,,178868,,,,,130318,180993,186977,,297755,1251264,,,60219,,,,,133180,149358,229947,,278631,1238836,,,,,,,,118613,131844,230888,,205928,1076190,,,,,,,,58574,80212,153639,,135106,1083882,,,,,,,,31190,25290,112028,
"The University of Tampa",1092496,1449781,,,544502,,1126067,502414,,212081,505552,601465,,1219437,1419372,,,418075,,1101558,522090,,208261,439314,647529,,1091780,1465278,,,362068,,1080377,450381,,182638,436180,734810,,1041011,1347543,,,356126,,964710,427596,,133743,378199,595417,,859033,1301533,,,318698,,1139030,422124,,139495,319821,552594,,879748,1251072,,,446894,,934245,368366,,134447,346083,565015,,794599,1178837,,,270009,,901904,325255,,122079,310697,524788,,760397,1030814,,,198796,,747916,319697,,105426,252563,503718,,674714,990014,,,180879,,709008,300767,,104939,227551,473706,,664307,923636,,,154285,,694616,317250,,100020,215248,423064,,634918,916976,,,158189,,672050,270856,,96386,186455,432447,,663005,744841,,,88094,,701027,267256,,88116,,395061,
"Long Island University",1091070,3777254,733770,3415243,795301,2128839,1706536,1013801,,459598,,671176,569705,1043867,4424109,854952,3401662,680175,898429,2267747,1211962,,625032,,1021097,514702,1557888,5419510,779189,2540158,844856,,2697182,1697659,,545387,2796093,1256006,361517,528301,1319895,373742,2386307,91961,,908728,493784,,123367,558254,335431,337209,546553,1325554,435255,2401000,117943,,833945,529385,,140129,508695,299319,327198,587540,1303739,393914,2327368,117614,,848601,526195,,157731,320802,337251,304908,575536,1223511,389665,2295934,84042,,854338,520420,,129394,438908,285650,282917,488405,1239114,380206,2106489,,,784054,510032,,85664,,315196,,523347,1210203,339648,2064864,,,709252,482253,,45509,,259475,,509633,1183033,356856,2008094,,,668919,465938,,53345,,174521,,457931,1116484,276716,1991700,,,656264,456220,,66621,,225606,,437140,1056395,249082,1994907,,,609201,491072,,48459,,233663,
"University of California-Davis",1083760,3850738,640463,5078775,789408,,1408431,724019,510877,766874,,848715,,875161,4141401,805110,5646927,759985,,1733531,734850,773321,695817,1236926,986814,,1074084,4240907,812266,5754648,964893,,1613274,805463,784780,719512,1432690,889214,,1002450,4021500,706712,5482168,773431,,1657120,897514,749216,743430,1417111,930310,,924432,3817436,765064,4900362,733591,,1554931,772986,786736,737828,1364518,855994,,884627,3203324,659996,4478087,724341,,1510240,764587,705286,690515,1161998,864264,,913959,2857040,725629,4127348,804052,,1478078,740382,720257,655964,1114362,801940,,910665,2445928,643328,4080338,715601,,1353202,696064,704415,660124,1148314,743699,,838244,2622566,649180,3566555,680566,,1220188,765495,702783,596919,1261772,797196,,801291,2219320,550328,3273095,699920,,1144302,686450,636919,556044,1081437,737686,,727916,1948704,442819,3040967,676180,,1104948,622429,625313,504982,1133414,650904,,819652,1593336,382241,2740373,543377,,993101,536598,808216,482648,1144860,526792,479749
"Indiana Institute of Technology",1081834,1781356,,,199949,386957,1746534,352526,,689543,,724039,765157,1080387,1570592,,,260480,394933,1768783,375070,,580571,,602110,521336,1104899,1550088,,,298941,689276,1723522,372493,,442490,,383078,427324,1043172,1232855,,,226179,571850,1596033,344148,,329793,,308405,404204,1143816,1199719,,,245783,391336,1464379,369798,,289661,2149936,349798,542626,995915,1002502,,,236664,384204,1359471,316910,,307023,1991825,315306,397932,855941,810485,,,204555,335326,1458098,388177,,339790,1988756,337275,450660,792044,891831,,,219366,,1371327,430573,,354246,2271922,333650,485982,808590,830687,,,226615,,1101031,315855,,260249,1917715,364914,431641,702250,897390,,,208209,,893790,335325,,164741,1138616,394143,330636,639661,929561,,,231651,,972533,376474,,193698,937469,331834,,628453,889123,,,253153,,937449,446060,,269356,699095,360605,
"University of Richmond",1079400,6621757,955404,6368590,924364,,1019816,,851778,1127399,1130475,,,1332287,7488204,1109143,7112748,889843,,1212467,,987606,948673,1089351,,,1399279,7315211,977330,7031345,917441,,1114851,,890405,876480,1142324,,,1156503,6821446,1041671,6975231,1014611,,1154820,,960505,820672,1085264,,,948005,7027621,887330,6740937,963208,,1087010,,851366,860220,1010927,,,993851,6953225,905715,6794504,826685,,1080678,,756108,754339,871655,,,992023,6945386,834034,6463260,591282,,996119,,798981,722765,918656,,,887959,6873851,926741,6173401,531953,,965107,,814712,698056,872611,,,876601,5928153,862579,7142566,647530,,1391764,,760075,682030,1031509,,,860091,5717171,796070,6633500,529727,,1442174,,748474,590791,922464,,,835799,5520028,701423,6205036,529015,,1361481,,654151,615750,934400,,,785518,4052491,740726,5855935,495464,,1380590,,585597,592055,850405,,
"Marshall University",1077566,3391117,,10185641,593424,,1774369,919414,704757,411005,930331,688499,,925742,4560799,,10175813,668478,,1858759,854336,835477,414496,850047,932130,,1142434,4653085,,10442448,677004,,1680435,903308,791344,409253,1041275,942231,,1046355,4329853,,9609438,621997,,1578921,875478,783266,496236,1006965,771448,,1020054,3781252,,8905082,663826,,1460033,882915,739943,537139,1024502,807654,,1010472,3743763,,9277508,662189,,1393160,799687,729601,433670,877247,683018,,938409,3762588,,9038549,651949,,1210311,802305,571346,469493,874678,735968,,825075,4417954,,8643638,542891,,1155501,740425,490851,399011,840578,654148,,268446,3287798,,7760381,280846,,699474,581297,410870,313754,643370,502382,,397787,3890018,,8961669,336803,,783272,722442,578190,395763,730510,641785,,849101,3854388,,8545389,507282,,1192359,761684,516086,446050,784810,597654,,799320,4392581,,7462672,466417,,1063669,758688,505556,413589,693063,576208,
"Bethany College",1069026,1764689,,1718940,605137,,1275007,829965,,226270,,539368,410442,1067732,2430688,,3063651,865603,,1571117,974896,,303346,,907186,516122,801404,1396127,,807590,1380598,,1381154,591433,,1378084,,586930,796180,1197682,1635420,,2206989,520017,,1310167,1030043,,259589,534504,495801,403442,971882,1391691,,1927124,357130,,1374714,920634,,323649,,490976,357272,905545,1199435,,1681589,281748,,1081870,637247,,378158,,467475,317121,939402,960096,,1872960,349706,,877586,552411,,112911,,482308,643866,870211,956904,,1813838,235787,,767776,453862,,504034,551306,416491,828677,598120,577086,,989733,101680,,478608,268794,,319361,273012,219588,284518,371981,424275,,760165,89648,,311904,191629,,261382,,139427,264291,228960,381859,,549063,78973,,267328,165169,,178702,314455,120792,,218303,362739,,501869,76509,,261189,146937,,160684,,121983,
"New Mexico State University-Main Campus",1050130,4579408,,6538782,853017,,855770,947599,748619,814737,1147853,1047015,,913286,4910174,,9228333,776260,,760684,857053,913444,807339,1081784,1168317,,1251344,4743635,,8565863,765601,,643963,951168,859131,801408,1066741,1089703,,1162147,4081967,,7563062,805559,,697206,926400,746811,752953,973577,1062301,,1048284,3749994,,6184956,790005,,644307,1033569,705635,662559,839241,1014742,,1044076,4567006,,7141189,778823,,616622,975600,744674,728590,989563,1022021,,942496,4470576,,6375298,691932,,544844,982384,705822,775116,911613,1027432,,1002097,3897066,,7007906,708404,,616011,896760,730108,657304,945498,1073233,,853853,4276662,,6569816,570979,,601634,889754,676900,668916,874017,1001730,,905453,4076297,,6159515,690488,,617591,865334,646179,625509,832974,1010501,,903085,3574574,,5492439,661366,,609191,824830,626884,596136,828332,890901,,789481,3264857,,5289364,602319,,510518,746837,711140,563776,701709,767574,
"Miami University-Oxford",1044830,2954959,975899,7293116,407045,2233949,880512,868805,1334872,500633,1756707,906374,,1125390,3945279,1278982,9291110,400581,2913235,1090221,942251,1547165,598178,1759763,1077567,,1187811,3910238,1313459,9272010,488566,2736822,1022925,982219,1722191,695120,1850952,1131824,,1274350,4249819,1105259,8956175,451138,2788380,1040296,1010048,1588653,705171,1744044,1088139,,1135212,4168032,970870,9029644,394951,2812202,959105,927610,1478223,530050,1653733,1105148,,1187907,3899266,956030,7613028,349317,2480204,945894,949152,1498196,653513,1660534,983545,,1402157,3618255,856639,8172656,373736,2702660,821590,842236,1493298,615193,1729529,888946,,950545,3228798,811855,7188385,324590,2391424,811748,804561,1358606,625884,1717106,731894,,913199,3310619,824614,6922038,336127,2582258,786161,715417,1252511,559457,1782243,795383,,937375,3150937,726081,6388432,303849,2494165,819959,796655,1258204,570766,1522415,841036,,789957,2742822,719462,6950802,350915,2172736,856087,744428,1118509,500907,1525699,750847,,772145,2783866,669429,6903977,299603,2330006,679208,778807,1184058,366979,1534284,705407,
"Wofford College",1040379,2927367,,5676313,914743,,1607498,,,726177,1227275,863043,,984137,3325785,,5702523,916381,,1548784,,,783857,1267938,842384,,1100156,3263398,,5529094,879638,,1532363,,,781822,1183615,781343,,1011640,2692128,,5014782,759447,,1355427,,,630519,1151940,743772,,924912,2808790,,4963325,793062,,1438767,,,687742,1111316,695033,,860780,2675893,,4567884,783559,,1350645,,,703899,1020046,642635,,866817,2512578,,4274839,802467,,1374314,,,642297,,596458,,486507,1989639,,4138295,712593,,781516,,,482354,,333647,,431494,1820375,,3879148,566310,,818509,,,467586,,296493,,436364,1560226,,3629852,518423,,730031,,,423195,201168,259900,,391775,1662357,,3578920,514807,,754498,,,427174,183774,263646,,335408,1524515,,3382121,469929,,641314,,,376072,150307,192594,
"New Jersey Institute of Technology",1037515,3044624,,,,,1506380,,316917,285977,359153,993462,,767066,3226225,,,,,1674581,,411843,735403,399906,1132997,,890221,3381916,,,,,1549477,,304300,821425,533265,1002406,,911123,3380963,,,,,1611162,,315712,895735,518693,1037545,,794514,3219900,,,,,1548856,,292953,719473,554844,1084321,,798549,3350235,,,,,1568375,,259289,647530,429703,999558,,628718,2986614,,,,,1410584,,198729,512615,397229,926456,,654913,2976207,,,,,1385579,,136685,554368,412800,779408,,655247,3023606,,,,,1334829,,59533,527386,386727,876308,,609922,2768572,,,,,1201865,,,483171,383696,640144,,581341,2651372,,,,,1089813,,,445002,411946,696108,,611300,2706918,,,,,1070633,,,426503,439344,755320,
