"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Mississippi State University",4942116,10341121,,27807741,1523153,,1721970,1685107,,1728524,3265319,1277353,,3474067,12780059,,39962124,1546732,,1819403,1935583,,1780781,3169018,1545683,,4834495,14146079,,38035088,1666349,,2023503,2224112,,1946698,3339895,1661817,,3690188,12566491,,29753690,1425058,,1784031,2115407,,1746668,3778000,1582406,,3591201,12303673,,35687282,1352345,,1665754,1755203,,1688130,3533930,1491996,,2210649,7904074,,35471847,73000,,217552,247728,,145118,304990,97924,,2004407,6659789,,31308423,69400,,104618,266880,,126986,220635,95859,,3372241,9349562,,27140807,1057570,,1233821,1271958,,1218885,2343945,1132959,,2712079,9043633,,25824156,868241,,1013849,1178374,,1216641,2446949,1012551,,2563411,9257825,,25339143,778377,,973353,1016392,,1038029,2103834,999245,,2119652,8783421,,22575985,657675,,775010,915651,,908278,1925118,953893,,1795561,10011948,,14551275,617332,,761417,848442,,843054,1690866,904747,
"University of Miami",4733962,12646829,,34421031,1011088,,1791741,,1552337,2131483,4778345,1782445,,4492894,14943902,,59453410,976390,,1941731,,1668518,2246922,4422631,1797464,,4958396,15711870,,56257383,974209,,1960102,,1526635,2878854,4712461,1626198,,3725691,13855705,,57144810,880757,,1727201,,1590132,2065449,4843387,1539414,,1927197,15705797,,35358218,863479,,1607203,,1800970,1552107,3367376,1613717,,1738309,7523778,,34217378,383805,,693293,,818381,822265,1878011,567136,,1818194,7987758,,38985460,390621,,883683,,770467,764503,1764280,615988,,1979369,8733407,,33528906,324165,,838433,,588017,648373,1336163,464930,,1891723,10051578,,29986463,339067,,828445,,654184,644509,1149651,581490,,1787842,10275599,,29278750,319016,,632183,,626396,571417,1050485,546408,,1747873,8592573,,26205317,347277,,651817,,646737,612318,1082237,560685,,1854090,8267015,,24631029,336874,,638777,,627440,593429,1029867,541216,
"University of Arizona",4354790,12546174,,29146643,2888907,,3757703,3838809,5771793,2764865,6891246,1765991,,1302291,18173390,,38970927,714527,,618408,1462477,915927,664874,1061308,496129,,1214952,23489226,,43272457,544803,,699159,1109688,1110329,650247,1386534,556931,,1168948,23487345,,44011760,493401,,540958,816103,903703,578262,1037207,548621,,1180946,24006587,,44177156,450704,,593935,948362,1003542,530210,1068792,474867,,1022462,22283100,,41388363,454385,,485424,697716,908953,524652,1022213,433346,,895826,19707241,,23115960,371532,,419511,770695,914761,570119,945170,452391,,808858,28030324,,29259647,345278,,445950,663349,706456,454454,942908,393913,,861079,25406258,,28415445,416472,,407078,540083,665582,359836,907007,349709,,1040708,20742401,,24445690,407345,,411731,592432,675821,376653,878735,407108,,542304,21595134,,25448212,468130,,370419,705805,929725,430604,,368724,,527222,19607985,,24398253,399217,,301441,592553,701998,328948,,338331,
"Auburn University",4252637,14078273,,51651237,2553984,,2225338,2511701,3367149,2249710,3946435,1624288,,625139,12499683,,97665511,212895,,168790,194365,351355,113162,330027,126689,,1081504,16132891,,95157216,338862,,188113,396302,230031,122748,300302,120358,,904470,11479820,,93562715,293883,,189663,374917,198927,127881,329674,112977,,884192,10180966,,91652926,153906,,214176,447450,202890,163012,225225,119703,,615662,11955149,,92537433,147900,,188513,566142,322988,172593,325775,110791,,463925,11361073,,86742256,403866,,142557,347943,392631,136713,292837,133233,,5072972,15037471,,49639256,2039974,,1633442,1925938,3565767,1880338,4262549,1466975,,443261,9576140,,75092576,199485,,11155,2504,,6537,45755,3339,,1343664,9820658,,77170242,151288,,2881,3373,76488,21516,22108,2564,,484671,10107925,,76227804,92757,,2924,5691,87825,22088,21391,51578,,408412,9652416,,66162720,139622,,15619,3287,29229,66355,16137,40253,
"University of Virginia-Main Campus",4031977,13694811,1428916,30729881,1541800,,3911095,1360017,2742546,2220732,3747453,1462889,1277717,3817842,17891083,1477591,43316163,1498171,,3757697,1187266,2519886,2117198,3396202,1550731,1226160,3644584,17667919,1366863,33726985,1669027,,3551360,1421591,2754738,2652234,3683913,1434935,1265758,3648381,18210926,1422035,32549903,1496924,,3489311,1342049,2663641,2612805,3601758,1479946,1234042,3546486,12828294,1336634,21136336,1485231,,3300789,1391829,2425313,2629266,3356548,1977495,1177289,2482603,11360410,776828,27931475,691776,,1723044,706137,1414454,1423650,1818554,809865,748425,1673705,11002704,691567,24551003,557653,,1784222,674512,1310076,895562,1535560,679012,586094,2383725,9273663,685362,28225141,501356,,1632193,601722,1363633,1579465,1664097,857790,662287,4790001,11638939,1519762,21521178,1293630,,2534722,1013710,1745863,2124901,3492371,2110717,921959,769791,9758651,628789,24074798,868493,,2378639,554046,954897,1037023,1297522,656516,189626,1726266,9461353,78950,16775871,117721,,301676,50502,207734,248698,397230,55613,116155,1140767,10157759,67528,19004653,86273,,296021,42342,567188,292203,135092,228273,78875
"University of South Carolina-Columbia",3988654,13796290,,43854572,1665507,,2710645,1730996,2350497,1991309,3933151,1551419,,1966240,13357426,,69255386,187316,,462926,573858,455250,220476,1074013,261595,,4145897,13300832,,65004536,125498,,536784,366554,564651,312935,835367,288725,,3642272,13711098,,64415927,145662,,373536,252521,366179,172221,545313,171897,,4774459,13995015,,60264364,53692,,372965,216316,65305,373652,632061,10971,,3138469,11178302,,59629815,96952,,406265,201553,278596,197755,415255,131737,,2702008,10376424,,59768622,123318,,340209,176809,274561,149816,434766,190010,,3166581,8967946,,55615454,125443,,288885,254839,278366,133335,439302,100987,,2941591,8468593,,49266878,45318,,22565,41495,25538,14238,80254,8655,,3047256,7847731,,48065096,27536,,36707,13088,3284,2201,24172,7124,,2567094,7895368,,45464058,30700,,37469,12268,5570,2002,17550,4386,,2666360,9324080,,58266159,13485,,40582,5149,5399,2002,9905,9508,
"Arizona State University Campus Immersion",3928714,9848752,,24420556,3754109,3099798,1650970,1887996,,1987547,3838677,1493560,1605140,995707,10488284,,49676376,736565,2901174,149234,602542,223447,309025,469970,329949,554645,1488637,11548069,,39007842,807859,3380116,216252,741736,293036,510242,690005,391001,565724,1073727,9512990,,47463786,1098658,3018907,197936,887737,334656,730225,633080,219843,666795,1308098,8490439,,43012682,543696,3384188,182987,527073,385909,647141,569778,232262,471361,1476439,7925734,,42892151,550095,2310500,199104,673610,331297,164418,618735,360431,347980,2331905,9650653,,49016140,382511,,244221,914013,243399,84097,300893,204772,196395,1238142,8194734,,48982647,625196,,97777,743877,144863,68306,269491,140399,93797,1242877,8416593,,39210883,385786,,101545,843738,148511,71764,315736,109905,287866,1447160,8407514,,34859343,451063,,322179,921856,639349,209386,992492,337512,351243,1264571,10271101,,27842879,275019,,143261,672492,172832,30738,118235,102806,569426,1245394,10027328,,29587236,310969,,57064,532996,90667,45280,128853,88947,928053
"The University of Texas at Austin",3922662,12023452,,97223872,539655,,595965,866614,964411,432325,1081400,1070048,,2666869,15209528,,144426105,683563,,527414,818530,762129,390204,783607,1446017,,5933400,18798436,,156147208,1347461,,1063410,1114252,2316965,681522,1739672,2063829,,5932925,21265925,,143064180,1270530,,1060845,1079361,1996267,658360,1452742,2069986,,5671295,20257219,,141173444,2079234,,1032916,1115054,1989977,789574,1584461,2290587,,5398695,19947235,,127465311,610629,,665263,674256,1421414,461988,1124716,1797900,,5546029,18430487,,121382436,783758,,684316,738851,1576975,488030,1081000,1652385,,5002700,16618227,,112508162,513905,,628093,731620,1611394,411432,884388,1576392,,4829413,18516183,,109400688,487869,,476720,627644,1283542,430906,777092,1387148,,7691843,20061213,,103813684,499725,,528707,611638,1033991,430489,680021,1428665,,5812088,18192026,,95749684,612950,,638014,641812,1439067,396743,636555,1438415,,5650027,17371681,,93942815,485005,,585756,540917,1196336,389091,798460,1321284,
"University of Louisville",3593066,17010362,1291989,23075717,1410013,,2595155,1340513,2530500,1477116,2685464,1541714,,238645,42177260,23142,48923931,233370,,213287,41950,31300,29870,17500,230986,,914859,48559421,1402651,47327709,1199074,,1666059,1701704,1663615,786219,1734541,1795066,,434039,44744906,84564,43649769,347630,,172110,27775,85206,46579,193991,203764,,610178,45244109,3250,42066595,335943,,205835,31567,128303,31925,21320,101594,,687718,46851506,17176,40568726,232618,,185133,47893,84535,53380,172375,194115,,476589,47060673,12171,36383759,189670,,230082,28437,28045,30770,32502,106416,,457729,41662507,6304,26515411,172146,,97715,44765,89142,37162,6200,103074,,241862,43884085,14947,28069712,138215,,137260,58530,117977,50425,217567,708970,,166930,43394035,44169,23756955,201119,,169897,69851,76311,54005,33408,99906,,112893,41763549,7874,25658653,159359,,370051,52687,154354,67024,22355,37273,,338966,26513614,33351,15537276,173065,,81715,65333,85220,99395,37407,92283,
"Baylor University",3403979,18177665,,29692684,2395874,,2111130,2470680,,3493729,5203379,2382912,,3390431,18114035,,56561243,2346613,,2430720,2211145,,3198065,5015672,2577084,,3785926,19345594,,45580767,2322137,,2604515,2375263,,3196627,5378430,2252327,,3701764,17223551,,41528041,2197060,,2488814,2171246,,2735040,5211343,2304425,,3214301,16665448,,43223215,2360899,,2337697,2170407,,2427731,4938227,2154356,,3457580,16115351,,38305937,1957139,,2452189,2166837,,2253522,4805612,1994119,,2843339,14824524,,35575376,1900604,,1825928,1931129,,2382113,4769594,1906636,,2547900,14466211,,28317369,1762225,,1625558,1774007,,2278192,3892418,1515435,,2585877,13409698,,26270277,1484650,,1689892,1522913,,2138973,3658999,1523946,,2242754,12622770,,19891947,1369653,,1353166,1543657,,2171540,3370593,1429756,,1998064,10863904,,15031956,1181614,,1334498,1483056,,1999763,3192226,1298901,,1896785,9886186,,14355322,1241322,,965662,1084975,,1653141,2642073,1158807,
